#space multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#################################################################################
a._c._conductivity	e.sI._cAlakawA#e.sI._cAlakawA#noun#3#RM
alkaline_zink_manganese_dioxide_cell	kRArIya_jZiMka_mEMganIjZa_dAioYksAida_sela_ElkilIkArI#kRArIya_jZiMka_mEMganIjZa_dAioYksAida_sela_ElkilIkArI#noun#5#RM
alkylator_all_clear	saba_TIka#saba_TIka#noun#3#RM
all_fire_current	pUrNa_xAgI_XArA#pUrNa_xAgI_XArA#noun#3#RM
allan_variance	ElEna_prasaraNa#ElEna_prasaraNa#noun#2#RM
allowed_band	anumawa_bEnda#anumawa_bEnda#noun#2#RM
alpha_particle	ElPZA_kaNa#ElPZA_kaNa#noun#2#RM
alphabetic_character	akRarAwmaka_saMprawIka#akRarAwmaka_saMprawIka#noun#2#RM
alphabetical_notation	akRarAwmaka_saMkewa_paxXawi#akRarAwmaka_saMkewa_paxXawi#noun#2#RM
alphanumeric_character	akRarAMkIya_saMprawIka#akRarAMkIya_saMprawIka#noun#2#RM
alternate_acting_switch	prawyAvarwI_kriyA_svica#prawyAvarwI_kriyA_svica#noun#3#RM
altitude_acclimatization	wuMgawA_parianukUlana#wuMgawA_parianukUlana#noun#2#RM
alumel_chromel_thermocouple	elUmela_kromela_wApayugma#elUmela_kromela_wApayugma#noun#3#RM
aluminium_chloride	Eluminiyama_klorAida#Eluminiyama_klorAida#noun#2#RM
aluminium_potassium	Eluminiyama#Eluminiyama#noun#2#RM
aluminium_shear_plate	Eluminiyama_aparUpaNa_pattikA#Eluminiyama_aparUpaNa_pattikA#noun#3#RM
aluminized_screen	Eluminiwa_AvaraNa#Eluminiwa_AvaraNa#noun#2#RM
am-pm_conversion	e.ema.-pI.ema._parivarwana#e.ema.-pI.ema._parivarwana#noun#2#RM
am-pm_distortion	e.ema.-pI.ema._virUpaNa#e.ema.-pI.ema._virUpaNa#noun#2#RM
am/fm_receiver	e.ema./ePa.ema._risIvara#e.ema./ePa.ema._risIvara#noun#2#RM
ambient_condition	pariveSa_xaSA#pariveSa_xaSA#noun#2#RM
ambient_temperature	pariveSa_wApa#pariveSa_wApa#noun#2#RM
american_standard_code_(_ascii-6_)	amarIkI_mAnaka_koda_(AskI-6)#amarIkI_mAnaka_koda_(AskI-6)#noun#5#RM
amorphous_material	akristalIya_paxArWa#akristalIya_paxArWa#noun#2#RM
amplification_factor	pravarXana_guNaka#pravarXana_guNaka#noun#2#RM
amplifier_distortion	pravarXaka_virUpaNa#pravarXaka_virUpaNa#noun#2#RM
amplitude_discriminator	AyAma_vivikwikara#AyAma_vivikwikara#noun#2#RM
amplitude_distortion	AyAma_virUpaNa#AyAma_virUpaNa#noun#2#RM
amplitude_equalization	AyAma_wulyakaraNa#AyAma_wulyakaraNa#noun#2#RM
amplitude_limiter	AyAma_sImaka#AyAma_sImaka#noun#2#RM
amplitude_modulation	AyAma_mAdulana#AyAma_mAdulana#noun#2#RM
amplitude_modulator	AyAma_mAdulaka#AyAma_mAdulaka#noun#2#RM
amplitude_nonlinearity	AyAma_arEKikawA#AyAma_arEKikawA#noun#2#RM
amplitude_quantization	AyAma_kvAMtamana#AyAma_kvAMtamana#noun#2#RM
analog_computer	anurUpa_kampyUtara#anurUpa_kampyUtara#noun#2#RM
analog_converter	anurUpa_parivarwaka#anurUpa_parivarwaka#noun#2#RM
analog_data	anurUpa_detA#anurUpa_detA#noun#2#RM
analog_filter	anurUpa_PLltara#anurUpa_PLltara#noun#2#RM
analog_simulation	anurUpa_anukaraNa#anurUpa_anukaraNa#noun#2#RM
analog_time_base_corrector	anurUpa_kAlAXAra_saMSoXaka#anurUpa_kAlAXAra_saMSoXaka#noun#4#RM
analog_to_digital_converter_(_=_a_d_converter_)	anurUpa_se_aMkIya_parivarwaka_(eZ-dI_parivarwaka)#anurUpa_se_aMkIya_parivarwaka_(eZ-dI_parivarwaka)#noun#9#RM
analysis_(_pca_)	viSleRaNa_(pI.sI.e.)#viSleRaNa_(pI.sI.e.)#noun#3#RM
analytical_photo	vESleRika_PZoto#vESleRika_PZoto#noun#2#RM
anastigmatic_lens	anAbiMxuka_lensa#anAbiMxuka_lensa#noun#2#RM
ancillary_data	sahAyaka_detA#sahAyaka_detA#noun#2#RM
and_gate	aWa_xvAra#aWa_xvAra#noun#2#RM
anechoic_chamber	guMjarahiwa_koRTa#guMjarahiwa_koRTa#noun#2#RM
anelastic_after_effect	viRama_prawyAsWa_paSca_praBAva#viRama_prawyAsWa_paSca_praBAva#noun#3#RM
anergolic_propellant	sahAyajvalI_noxaka#sahAyajvalI_noxaka#noun#2#RM
angle_modulation	koNa_mAdulana#koNa_mAdulana#noun#2#RM
angle_of_attack	ApAwa_koNa#ApAwa_koNa#noun#3#RM
angle_of_cant	wiraCA_koNa#wiraCA_koNa#noun#3#RM
angle_of_coverage	vyApwi_koNa#vyApwi_koNa#noun#3#RM
angle_of_drift	apavahana_koNa#apavahana_koNa#noun#3#RM
angle_of_elevation	unnayana_koNa#unnayana_koNa#noun#3#RM
angle_of_incidence	Apawana_koNa#Apawana_koNa#noun#3#RM
angle_of_lag	paScawA_koNa#paScawA_koNa#noun#3#RM
angle_of_lead	agrawA_koNa#agrawA_koNa#noun#3#RM
angle_of_orientation	aBivinyAsa_koNa#aBivinyAsa_koNa#noun#3#RM
angle_of_resultant_momentum	pariNAmI_saMvega_koNa#pariNAmI_saMvega_koNa#noun#4#RM
angle_of_sun_(_=_sun_elevation=_sun_elevation_angle_)	sUrya_unnawAMSa_koNa#sUrya_unnawAMSa_koNa#noun#10#RM
angle_of_tracking	anusaraNa_koNa#anusaraNa_koNa#noun#3#RM
angle_of_twist	vyAvarwana_koNa#vyAvarwana_koNa#noun#3#RM
angle_of_valve	koNa_vAlva#koNa_vAlva#noun#3#RM
angle_of_view	xqSya_koNa#xqSya_koNa#noun#3#RM
angstrom_unit	EMgastrama_mAwraka#EMgastrama_mAwraka#noun#2#RM
angular_calibration_constant	koNIya_aMSAMkana_niyawAMka#koNIya_aMSAMkana_niyawAMka#noun#3#RM
angular_coverage	koNIya_vyApwi#koNIya_vyApwi#noun#2#RM
