#it dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
###############################################################################
a-transducer_noun	e_trAMsdyUsara
macroprogramming_noun	sWUla_progrAmana
macroprototype_noun	sWUla_AxiprarUpa
macrotrace_noun	sWUla_anureKa
macsyma_noun	mEkasAimA
madcap_noun	mEdakEpa
mag_noun	mEga
magnetostriction_noun	cuMbakIya_virUpaNa
mainframe_noun	mena_Prema
majority_noun	bahusaMKya
man_noun	mEna
management_noun	prabaMXana
manifolding_noun	bahuvalana
mapping_noun	prawiciwraNa
margin_noun	upAMwa
mark_noun	cihna
marker_noun	cinhaka
marking_noun	cihnana
maser_noun	mesara
mask_noun	AcCaxa
masking_noun	pracCAxana/AcCaxana
massaging_noun	parimArjana
master_noun	praXAna
match_noun	mela/melana
matching_noun	milAna
matrix_noun	mEtriksa/AvyUha
maxicomputers_noun	mEksI_kaMpyUtara
mean_noun	maXyamAna
mechanism_noun	yaMwrAvalI
median_noun	maiXyakA
medium_noun	maXyama/mAXyama/mAXya
meet_noun	milana
mega_noun	megA
megabit_noun	megAbita
megabyte_noun	megAbAita
megacycle_noun	megAsAikila
meme_noun	mema
memory_noun	smqwi/mEmorI
menu_noun	menU
merge_noun	anwaranihiwa/vilaya
merging_noun	saMvilaya
message_noun	saMMMxeSa
messaging_noun	saMxeSana
metaclass_noun	metAvarga
metanetwork_noun	metAjAlakArya
metapost_noun	metAposta
