viSeRa_guwpacara_sevA_jo_Sawru_ke_guwpacaroM_ke_prayAsoM_ko_viPala_kara_xewI_hE	viSeRa_guwpacara_sevA_jo_Sawru_ke_guwpacaroM_ke_prayAsoM_ko_viPala_kara_xewI_hE
AcCAxiwa_karanA/DAzka	AcCAxiwa_karanA/DAzkanA
waya_kara	waya
kisI_ke_sWAna_para_kArya_kara	kisI_ke_sWAna_para_kArya
loBa_kara	loBa
XamAkA_kara	XamAkA
kAma_karanA_banxa_kara_xe	kAma_karanA_banxa_kara_xenA
lAlasA_karanA/aBilARA_kara	lAlasA_karanA/aBilARA
yAcanA_kara	yAcanA
racanA/sqRti_karanA/uwpanna_kara	racanA/sqRti_karanA/uwpanna
nirmANa_kara	nirmANa
sqjana_kara	sqjana
sqjanAwmaka_nirmANa_karane_kI_Sakwi_vAlA	sqjanAwmaka_nirmANa_karane_kI_Sakwi_vAlA
kisI_KAwe_meM_jamA_kara	kisI_KAwe_meM_jamA
UzcA_howe_jAnA/pragawi_karawe_raha	UzcA_howe_jAnA/pragawi_karawe_rahanA
nakala_kara	nakala
sARtAMga_praNAma_kara	sARtAMga_praNAma
apAhija_kara	apAhija
AlocanA_kara	AlocanA
corI_karanA/XoKA_xe	corI_karanA/XoKA_xenA
uwpanna_karanA/xe	uwpanna_karanA/xenA
pAra_uwAranA/pAra_kara	pAra_uwAranA/pAra
rokanA/viroXa_kara	rokanA/viroXa
saMkaraNa_kara	saMkaraNa
viviXa_prakAra_se_jAzca_kara	viviXa_prakAra_se_jAzca
krOYsa_karenta	krOYsa_karenta
jiraha_kara	jiraha
para-saMsecana_kara	para-saMsecana
AdZI-wiraCI_lakIroM_se_reKAMkana_kara	AdZI-wiraCI_lakIroM_se_reKAMkana
jiraha_kara	jiraha
kAzva_kAzva_karanA/kukurU_kUM_kara	kAzva_kAzva_karanA/kukurU_kUM
rAjyABiReka_kara	rAjyABiReka
sammAniwa_kara	sammAniwa
samuxra_vihAra_kara	samuxra_vihAra
lakRya_prApwa_kara	lakRya_prApwa
carvaNa_kara	carvaNa
carvaNa_kara	carvaNa
saMgaNanA_kara	saMgaNanA
XarmayuxXa_kara	XarmayuxXa
Xarma_yuxXa_karane_vAlA	Xarma_yuxXa_karane_vAlA
BaviRyavANI_karane_kA_aByAsa	BaviRyavANI_karane_kA_aByAsa
kUka_karane_vAlI_GaMtAGadI	kUka_karane_vAlI_GaMtAGadI
KewI_kara	KewI
niyanwriwa_kara	niyanwriwa
niroga_kara	niroga
kama_kara	kama
UparI_DaMga_se_kara	UparI_DaMga_se
KilavAdZa_kara	KilavAdZa
nama_kara	nama
hawowsAha_kara	hawowsAha
nama_kara	nama_kara
